"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Generally white or creamy, but can also be colorless or pale yellow, green, blue, beige, gray, brown or pink.","Phosphates","Amblygonite","Mineral","Phosphate",,""," Perfect,  Good,  Distinct","Triclinic","Double refractive, biaxial, may be either positive or negative","08.BB.05",,"(Li,Na)AlPO<sub>4</sub>(F,OH)",,,"5.5 - 6","Vitreous to pearly","240px-Mineral_Ambligonita_GDFL032.jpg","na=1.577 - 1.591,nb=1.592 - 1.605,nc=1.596 - 1.613","Prismatic to columnar form","2.98 - 3.11"
"White, colorless, pink to lilac, pale green","Silicates","Amesite","Mineral","PhyllosilicatesKaolinite-serpentine group","Triclinic 1 pedial","","Perfect on {001}","Triclinic","Biaxial (+)","09.ED.15","a = 5.307(1) \u00c5, b = 9.195(2) \u00c5, c = 14.068(3) \u00c5; \u03b1 = 90.09(2)\u00b0, \u03b2 = 90.25(2)\u00b0, \u03b3 = 89.96(2)\u00b0; Z = 4","Mg<sub>2</sub>Al<sub>2</sub>SiO<sub>5</sub>(OH)<sub>4</sub>","White with pale green tint","Transparent to translucent",,"Pearly","240px-Amesite-190280.jpg","n\u03b1 = 1.597 n\u03b2 = 1.599 n\u03b3 = 1.615","Crystals form as platy to tapering elongated pseudohexagonal prisms","2.77"
"White, colorless, gray, pink, greenish, yellowish","Other","Analcime","Mineral","Zeolite",,"Analcime with aegirine and natrolite from Mont Saint-Hilaire, Qu\u00e9bec (size: 78 x 65 x 53 mm)","Very poor ","Cubic; tetragonal, orthorhombic, or monoclinic, pseudocubic, with degree of ordering.","Isotropic; anomalously biaxial (-)","09.GB.05",,"NaAlSi<sub>2</sub>O<sub>6</sub>\u00b7H<sub>2</sub>O","White",,"5 - 5.5","Vitreous","240px-Analcime%2C_Aegirine%2C_Natrolite-225835.jpg","n = 1.479 - 1.493","Typically in crystals, usually trapezohedrons, also massive to granular.","2.24 - 2.29"
"Green, greenish white to colorless","Phosphates","Anapaite","Mineral","Phosphate","Triclinic pinacoidal H-M symbol: 1Space group: P1","Anapaite from Ukraine","Perfect on {001}, distinct on {010}","Triclinic","Biaxial (+)","08.CH.10","a = 6.447 \u00c5, b = 6.816 \u00c5, c = 5.898 \u00c5; \u03b1 = 101.64\u00b0, \u03b2 = 104.24\u00b0, \u03b3 = 70.76\u00b0; Z=1","Ca<sub>2</sub>Fe<sub>2</sub>+(PO<sub>4</sub>)<sub>2</sub>\u00b7<sub>4</sub>H<sub>2</sub>O","White","Transparent","3.5","Vitreous","240px-Anapaite.jpg","n\u03b1=1.602, n\u03b2=1.613, n\u03b3=1.649","Tabular to bladed crystals, radiating clusters, incrustations, fibrous, and in nodules","2.8"
"Black, reddish to yellowish brown, dark blue, gray","Oxides","Anatase","Mineral","Oxide","Tetragonal (4/m 2/m 2/m) ditetragonal dipyramidalSpace group I41/amd","","Perfect on  and ","Tetragonal","Uniaxial (-), anomalously biaxial in deeply colored crystals","04.DD.05","a = 3.7845 \u00c5, c = 9.5143 \u00c5; Z = 4","<sub>79</sub>.<sub>88</sub>","pale yellowish white","Transparent to nearly opaque","5.5\u20136","Adamantine to splendent, metallic","240px-Anatase_Oisans.jpg","n\u03c9 = 2.561, n\u03b5 = 2.488","Pyramidal (crystals are shaped like pyramids), tabular (form dimensions are thin in one direction).","3.79\u20133.97"
"Light yellow, orange-yellow, yellow-brown, grey","Carbonates","Ancylite","Mineral","Carbonate",,"Nenadkevichite with ancylite crystals on the side","None","Orthorhombic",,"05.DC.05",,"Sr(Ce,La)(CO<sub>3</sub>)<sub>2</sub>(OH)\u00b7H<sub>2</sub>O","White","Translucent","4 - 4\u00bd","Dull","240px-Nenadkevichite-Ancylite-20236.jpg",,,
"Pink, violet, yellow, green, white, gray; in thin section, colorless to pink or green","Silicates","Andalusite","Mineral","Nesosilicates","2/m 2/m 2/m - Dipyramidal","Andalusite, Tyrol Austria.","Good on {110}, poor on {100}","orthorhombic","double refractive, biaxial negative; chiastolite has anomalous aggregate reaction.","09.AF.10","a = 7.7980 \u00c5 b = 7.9031 \u00c5 c = 5.5566 \u00c5; Z = 4","Al<sub>2</sub>SiO<sub>5</sub>","White","Transparent to nearly opaque with inclusions","6.5 - 7.5","Vitreous","240px-AndalousiteTyrol.jpg","n\u03b1 = 1.629 - 1.640 n\u03b2 = 1.633 - 1.644 n\u03b3 = 1.638 - 1.650","As euhedral crystals or columnar aggregates having nearly square cross sections; fibrous compact to massive","3.17 (+/- .04)"
"Bright green to yellow-green","Carbonates","Andersonite","Mineral","Carbonate","Trigonal rhombohedralH-M symbol (3)Space group: R3","Andersonite crystals from the Repete Mine, Blanding, San Juan County, Utah (size: 5.2 x 3.6 x 1.5 cm)",,"Trigonal","Uniaxial (+)","05.ED.30","a = 18 \u00c5, c = 23.83 \u00c5; Z=18","Na<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>\u00b7<sub>6</sub>H<sub>2</sub>O",,"Transparent to translucent","2.5","Vitreous","240px-Andersonite-37032.jpg","n\u03c9 = 1.520 n\u03b5 = 1.540","Rhombohedra, often flattened, pseudocubic; crystalline crusts, granular","2.8"
"White, gray, green, yellow, flesh-red","Silicates","Andesine","Mineral","plagioclase, feldspar, tectosilicate","Triclinic pinacoidal (1)","Andesine","Perfect on {001}, good on {010}","Triclinic pinacoidal H-M Symbol (1)","Biaxial (+/-)",,"a = 8.155 \u00c5, b = 12.9 \u00c5, c = 9.16 \u00c5; alpha = 93.917\u00b0, beta = 116.3333\u00b0, gamma = 89.166\u00b0; Z = 6","(Ca,Na)(Al,Si)<sub>4</sub>O<sub>8</sub>, where Ca/(Ca + Na) is between <sub>30</sub>%-<sub>50</sub>%","White","Transparent to translucent","6 - 6.5","Subvitreous to pearly","240px-01722_Andesine.jpg","n\u03b1 = 1.543 - 1.554 n\u03b2 = 1.547 - 1.559 n\u03b3 = 1.552 - 1.562","Crystals rare, to 2 cm; commonly massive or granular","2.66 - 2.68"
"Dark steel-gray, may tarnish yellow or iridescent; white in polished section","Sulfosalts","Andorite","Mineral","Sulfosalt","Orthorhombic (2/m 2/m 2/m) dipyramidal","Andorite - Itos Mine, Oruro City, Cercado Province, Bolivia. Specimen height is 4.1 cm.","none observed","orthorhombic","anisotropic","02.JB.40a","a = 12.99 \u00c5, b = 19.14 \u00c5, c = 4.3 \u00c5; Z = 4","PbAgSb<sub>3</sub>S<sub>6</sub>","Black","Opaque","3 - 3.5","metallic","240px-Andorite_-_Itos_Mine%2C_Oruro_City%2C_Cercado%2C_Oruro_Department%2C_Bolivia.jpg",,"Crystals stout prismatic to tabular on {100}, striations parallel to ; massive","5.33 - 5.37"
"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored","Other","Andradite","Mineral","Garnet group","Isometric 4/m 3 2/m","single crystal (4.2cm) - Diakon, Nioro du Sahel Circle, Kayes Region, Mali","none","Cubic - Hexoctahedral","Isotropic, typically weakly anisotropic","09.AD.25","a = 12.056 \u00c5; Z = 8","Ca<sub>3</sub>Fe<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","White","Transparent to translucent","6.5 to 7","Adamantine to resinous, dull","240px-Andradite-Mali.jpg","n = 1.887","Commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive","3.859 calculated; 3.8 - 3.9 measured"
"Blue","Arsenates","Andyrobertsite","Mineral","Arsenate",,"A mixture of andyrobertsite (blue) and calcioandyrobertsite (green), holotype specimen; size: 3.3\u00d72.2\u00d71.0 mm","{100} good","Monoclinic \u2013 Prismatic; H-M symbol (2/m), space group P21/m","Biaxial (-)","08.DH.50 08","a = 9.81, b = 10.034, c = 9.975, Z = 2","KCdCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>(H<sub>2</sub>AsO<sub>4</sub>)\u00b7<sub>2</sub>H<sub>2</sub>O","Pale blue","Transparent","3","Vitreous","240px-Andyrobertsite-Calcioandyrobertsite-117541.jpg","n\u03b1 = 1.72, n\u03b2 = 1.749, n\u03b3 = 1.757","Platy","4"
"Colorless to white, commonly tintedgray; orange, yellow, green, blue, rarely violet","Sulfates","Anglesite","Mineral","Sulfate",,"Anglesite Touizit Morroco"," good,  distinct","Orthorhombic \u2013 Dipyramidal (2/m 2/m 2/m)","Biaxial (+)","07.AD.35",,"PbSO<sub>4</sub>","White","Transparent to translucent","2.5\u20133.0","Adamantine crystals, dull when massive earthy","240px-Angl%C3%A9site-touizit_Monocristal.jpg","n\u03b1 = 1.878n\u03b2 = 1.883n\u03b3 = 1.895","Granular, banded, nodular to stalactitic","6.3"
"Colorless to pale blue or violet if transparent; white, mauve, rose, pale brown or gray from included impurities","Sulfates","Anhydrite","Mineral","Sulfate","Orthorhombic 2/m 2/m 2/m","Anhydrite, Chihuahua, Mexico"," perfect perfect good, resulting in pseudocubic fragments","Orthorhombic \u2013 dipyramidal","Biaxial (+)","07.AD.30","a = 6.245(1) \u00c5, b = 6.995(2) \u00c5, c\u00a0=\u00a06.993(2)\u00a0\u00c5; Z = 4","Anhydrous calcium sulfate:CaSO<sub>4</sub>","White","Transparent to translucent","3.5","Pearly on {010}vitreous to greasy on {001}vitreous on {100}","240px-Anhydrite_HMNH1.jpg","n\u03b1 = 1.567\u20131.574n\u03b2 = 1.574\u20131.579n\u03b3 = 1.609\u20131.618","Rare tabular and prismatic crystals. Usually occurs as fibrous, parallel veins that break off into cleavage fragments. Also occurs as grainy, massive, or nodular masses","2.97"
"Brown, yellow, white","Carbonates","Ankerite","Mineral","Carbonate","Trigonal rhombohedralH-M symbol: (3)Space group: R3","Ankerite on quartz from Peru.","Perfect on {1011}","Trigonal","Uniaxial (-)","05.AB.10","a = 4.8312(2) \u00c5, c = 16.1663(3) \u00c5; Z=3","Ca(Fe,Mg,Mn)(CO<sub>3</sub>)<sub>2</sub>","White","Translucent to transparent","3.5\u20134","Vitreous to pearly","240px-Ank%C3%A9rite_Quartz_P%C3%A9rou.jpg","n\u03c9 = 1.690 - 1.750 n\u03b5 = 1.510 - 1.548","Chrystals rhombohedral with curved faces; columnar, stalactitic, granular, massive","2.93\u20133.10"
"Apple-green, pale green, pale rose or pale pink, white, gray; may be zoned","Arsenates","Annabergite","Mineral","ArsenateVivianite group","Monoclinic prismatic H\u2013M Symbol (2/m)","Annabergite, Dob\u0161in\u00e1, Slovakia","Perfect on {010}, indistinct on {100} and {102}","Monoclinic","Biaxial (-)","08.CE.40","a = 10.179(2) \u00c5, b = 13.309(3) \u00c5, c = 4.725(1) \u00c5; \u03b2 = 105(1)\u00b0; Z = 2","Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>\u00b7<sub>8</sub>H<sub>2</sub>O","Pale green to white","Transparent to translucent","1.5 \u2013 2.5","Subadamantine, pearly on cleavages, may be dull or earthy","240px-Mineraly.sk_-_annabergit_2.jpg","n\u03b1 = 1.622 n\u03b2 = 1.658 n\u03b3 = 1.687","Usually as fibrous veinlets, crystalline crusts, or earthy; rare as well formed crystals","3.07"
"Brown to black","Silicates","Annite","Mineral","PhyllosilicatesMica group","Monoclinic 2/m","Annite sample","perfect in one direction {001}","Monoclinic, pseudohexagonal","Biaxial (-)","09.EC.20","a = 5.39 \u00c5, b = 9.33 \u00c5, c = 10.29 \u00c5; \u03b2 = 100\u00b0; Z = 2","KFe<sub>32</sub>+AlSi<sub>3</sub>O<sub>10</sub>(OH,F)<sub>2</sub>","brownish white",,"2.5 - 3","submetallic to vitreous; pearly on cleavage surfaces","240px-Annite_sample.jpg","n\u03b1 = 1.625 - 1.631 n\u03b2 = 1.690 n\u03b3 = 1.691 - 1.697","usually in ""blocks"" of thin sheets or as aggregations of foliated thin scales. Includes large, well formed pseudohexagonal prisms up to 12\u00a0cm across and 15\u00a0cm long.","approximately 3.3"
"White, grayish, reddish","Other","Anorthite","Mineral","Feldspar","Triclinic 1 pinacoidal","Anorthite crystals in a basalt vug from Vesuvius (size:6.9 x 4.1 x 3.8 cm)","Perfect  good  poor ","Triclinic","Biaxial (-)","09.FA.35","a = 8.1768 \u00c5, b = 12.8768 \u00c5, c = 14.169 \u00c5; \u03b1 = 93.17\u00b0, \u03b2 = 115.85\u00b0, \u03b3 = 92.22\u00b0; Z = 8","CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>",,"Transparent to translucent","6","Vitreous","240px-Anorthite-rare08-38b.jpg","n\u03b1 = 1.573 \u2013 1.577 n\u03b2 = 1.580 \u2013 1.585 n\u03b3 = 1.585 \u2013 1.590","Anhedral to subhedral granular","2.72 \u2013 2.75"
"Colorless, also white, pale creamy yellow, red, green","Other","Anorthoclase","Mineral","Feldspar","Triclinic pinacoidalH-M symbol: (1)Space group: C1","Doubly terminated anorthoclase crystal from Kinki Region, Honshu island, Japan (size: 1.3 x 0.9 x 0.7 cm)","Perfect on , other partings","Triclinic","Biaxial (-)","09.FA.30","a = 8.28 \u00c5, b = 12.97 \u00c5, c = 7.15 \u00c5; \u03b1 = 91.05\u00b0, \u03b2 = 116.26\u00b0, \u03b3 = 90.15\u00b0; Z = 4","(Na,K)AlSi<sub>3</sub>O<sub>8</sub>","White","Transparent","6","Vitreous to pearly on cleavage planes","240px-Anorthoclase-tn23a.jpg","n\u03b1 = 1.519 - 1.529 n\u03b2 = 1.524 - 1.534 n\u03b3 = 1.527 - 1.536","Short prismatic crystals; tabular, rhombic, flattened along ","2.57 - 2.60"
"Gray to green, brown, and beige","Silicates","Anthophyllite","Mineral","InosilicatesAmphibole","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: P nma","","Perfect on {210}, imperfect on {010}, {100}","Orthorhombic","Biaxial (+)","09.DE.05","a = 18.5 \u00c5, b = 17.9 \u00c5, c = 5.28 \u00c5; Z = 2","\u2610Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","White to gray","Transparent to translucent","5.5 - 6","Vitreous, pearly on cleavage","240px-Anthophyllite_Su%C3%A8de_Fond.jpg","n\u03b1=1.598 - 1.674, n\u03b2=1.605 - 1.685, n\u03b3=1.615 - 1.697; indices increase with Fe content","Rarely as distinct crystals. Commonly lamellar or fibrous.","2.85 - 3.2"
"Bright green, through darker greens to black","Sulfates","Antlerite","Mineral","Sulfate",,"A vein of acicular, green antlerite crystals from Chuquicamata, Chile (dimensions: 3.5 x 3.4 x 1.8\u00a0cm)","Perfect on ","Orthorhombic bipyramidal","Biaxial (+)","07.BB.15",,"Cu<sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>","Pale green","Translucent","3 to 3.5","Vitreous","240px-Antlerite-40298.jpg","n\u03b1 = 1.726 n\u03b2 = 1.738 n\u03b3 = 1.789","tabular and acicular or fibrous. Also found as reniform, massive or granular specimens","3.9"
"Transparent to translucent, usually green, less often colorless, yellow, blue to violet, pink, brown.","Phosphates","Apatite group","Mineral","Phosphate",,""," indistinct,  indistinct","Hexagonal dipyramidal (6/m)","Double refractive, uniaxial negative","08.BN.05",,"Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>(F,Cl,OH)","White","Transparent to translucent","5 (defining mineral)","Vitreous to subresinous","240px-Apatite_crystals.jpg","1.634\u20131.638 (+0.012, \u22120.006)","Tabular, prismatic crystals, massive, compact or granular","3.16\u20133.22"
"White, colorless; gray, blue, green due to inclusions and impurities","Sulfates","Aphthitalite","Mineral","Sulfate","Trigonal hexagonal scalenohedral (3 2/m)","Aphthitalite, collected from Ghom Salt Dome, Qom Province, Iran","Fair on {1010}, poor on {0001}","Trigonal","Uniaxial (+) (anomalously biaxial)","07.AC.35","a = 5.67 \u00c5, c = 7.33 \u00c5 Z = 1","(K,Na)<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>",,"Transparent to opaque","3","Vitreous to resinous","240px-Aphthitalite-180031.jpg","n\u03c9 = 1.487 - 1.491 n\u03b5 = 1.492 - 1.499","Tabular crystals (with distorted pseudo-orthorhombic habit); as bladed aggregates and in crusts","2.66\u20132.71"
"Usually white, colorless; also blue, green, brown, yellow, pink, violet","Silicates","Apophyllite","Mineral","Phyllosilicate",,"","Perfect on (001)","Tetragonal; (Apophyllite-(NaF) is orthorhombic)",,,,"(K,Na)Ca<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(F,OH)\u00b7<sub>8</sub>H<sub>2</sub>O","White","Transparent to translucent","4.5 - 5","Vitreous; pearly","240px-Apophyllite_Photolitherland.jpg","1.536","Prismatic, tabular, massive","2.3 \u2013 2.4"
"White, red, yellow, orange, green, purple, grey, blue and brown","Carbonates","Aragonite","Mineral","Carbonate","Orthorhombic (2/m 2/m 2/m) - dipyramidal","Aragonite from Salsignes Mine, Aude department, France Size: 30x30x20 cm","Distinct on {010}, imperfect {110} and {011}","Orthorhombic","Biaxial (-)","05.AB.15","a = 4.95 \u00c5, b = 7.96 \u00c5, c = 5.74 \u00c5; Z = 4","CaCO<sub>3</sub>","White","Translucent to transparent","3.5-4","Vitreous, resinous on fracture surfaces","240px-Aragonite_Salsigne_France.jpg","n\u03b1 = 1.529 - 1.530 n\u03b2 = 1.680 - 1.682 n\u03b3 = 1.685 - 1.686","Pseudohexagonal, prismatic crystals, acicular, columnar, globular, reniform, pisolitic, coralloidal, stalactitic, internally banded","2.95"
"White to colorless, yellow","Sulfates","Arcanite","Mineral","Sulfate","Orthorhombic dipyramidal (2/m 2/m 2/m)","Arcanite","Good on {010} and {001}","Orthorhombic","Biaxial (+)","07.AD.05","a = 5.77 \u00c5, b = 10.07 \u00c5, c = 7.48 \u00c5; Z = 4","K<sub>2</sub>SO<sub>4</sub>","White","Transparent to translucent","2","Vitreous","240px-Arcanite.jpg","n\u03b1 = 1.494 n\u03b2 = 1.495 n\u03b3 = 1.497","Tabular crystals, typically in crusts and coatings","2.66"
"Greenish gray or bluish green","Sulfosalts","Ardaite","Mineral","Sulfosalt, Lead",,"Ardaite associated with galenite, Madjarovo polymetallic ore deposit, National Natural History Museum, Sofia, Bulgaria",,"Monoclinic",,"02.LB.302/E.19-20",,"Pb<sub>19</sub>Sb<sub>13</sub>S<sub>35</sub>Cl<sub>7</sub>",,,"2.5-3","Metallic","200px-Ardaite_in_Galenite_Madjarovo_ore_deposit.jpg",,,
"Black, deep green on thin edges","Silicates","Arfvedsonite","Mineral","InosilicatesAmphiboles",,"Arfvedsonite from New Hampshire, USA","Perfect on ","Monoclinic \u2013 Prismatic","Biaxial (-)","09.DE.25VIII/F.08-100",,"[Na][Na<sub>2</sub>][(Fe<sub>2</sub>+)<sub>4</sub>Fe<sub>3</sub>+][(OH)<sub>2</sub>|Si<sub>8</sub>O<sub>22</sub>]","Deep bluish gray, gray-green","Translucent to opaque","5\u20136","Vitreous","240px-Arfvedsonite.jpg","n\u03b1 = 1.652\u20131.699n\u03b2 = 1.660\u20131.705n\u03b3 = 1.666\u20131.708","Fibrous, radial prismatic aggregates","3.3\u20133.5"
"Black, purplish tinge","Sulfides","Argyrodite","Mineral","Sulfide","Orthorhombic mm2 pyramidal","Argyrodite from the type location in Germany (size: 4.9 x 3.2 x 2.3 cm)","Absent","Orthorhombic - pseudo-cubic","Weakly anisotropic","02.BA.35","a = 15.149 \u00c5, b = 7.476 \u00c5, c = 10.589 \u00c5; Z = 4","Ag<sub>8</sub>GeS<sub>6</sub>",,"Opaque","2.5","Metallic","240px-Argyrodite-154922.jpg",,"Pseudo-octahedra, dodecahedra, cubes; radiating crystal aggregates, botryoidal crusts, or massive","6.2-6.5"
"Gray to tan in reflection, opaque","Other","Armalcolite","Mineral","Titanium",,"Armalcolite (Grain size 5 mm)",,"Orthorhombic, point group 2/m 2/m 2/m, space group Bbmm, a = 0.9743(30) nm, b = 1.0023(20) nm, c = 0.3738(30) nm, Z = 2","Biaxial","04.CB.15",,"(Mg,Fe<sub>2</sub>+)Ti<sub>2</sub>O<sub>5</sub>",,,"<5","Metallic","240px-Armalcolite_-_Wat_Lu_Mine%2C_Mogok%2C_Myanmar.jpg",,,"4.64 g/cm3 (measured)"
"Bronze brown; yellow to black","Arsenates","Arseniosiderite","Mineral","Arsenate",,"Arseniosiderite, size: 6.4\u00d76.2\u00d75.6 mm","{100} good","Monoclinic \u2013 Prismatic; H-M symbol (2/m), space group A2/a","Biaxial (-)","08.DH.30 08","a = 17.76, b = 19.53, c = 11.3, Z = 12","<sub>766</sub>.<sub>50</sub> g","Ochraceous","Translucent to opaque","4.5","Submetallic","240px-Arseniosiderite-d06-152a.jpg","n\u03b1 = 1.815, n\u03b2 = 1.898, n\u03b3 = 1.898","Fibrous","3.5\u20133.9, average = 3.7"
"White, pale blue, pink to pale yellow if impure","Oxides","Arsenolite","Mineral","Oxide","Isometric hexoctahedralH-M symbol: 4/m32/mSpace group: Fd3m","Arsenolite from the White Caps Mine, Manhattan District, Nye County, Nevada (size: 6.0 x 4.3 x 2.9 cm)","On {111}","Cubic","Isotropic; may be anomalously anisotropic","04.CB.50","a = 11.074 \u00c5; Z = 16","<sub>197</sub>.<sub>841</sub>","white /pale white","Transparent","1.5","Vitreous to silky; may be earthy or dull","240px-Arsenolite-333170.jpg","n = 1.755","Common as tiny octahedra; aggregates or crusts; botryoidal, stalactitic","3.87"
"Steel grey to silver white","Sulfides","Arsenopyrite","Mineral","Sulfide","Monoclinic 2/m prismatic","Arsenopyrite, Panasqueira Mine, Portugal","110 (distinct)","monoclinic","Anisotropism - strong red-violet","02.EB.20","a = 5.744 \u00c5, b = 5.675 \u00c5, c = 5.785 \u00c5; \u03b2 = 112.3\u00b0; Z = 4","FeAsS","Black","Opaque","5.5 - 6","Metallic","240px-Arsenopyrite%2C_Panasqueira_Mine%2C_Portugal.jpg",,"Acicular, off-square prismatic, stubby; striated; also compact, granular, columnar","5.9 - 6.2"
"Apple-green to bluish-green","Arsenates","Arthurite","Mineral","Arsenate",,"",,"monoclinic",,"08.DC.15",,"CuFe<sub>23</sub>+[(OH,O)(AsO<sub>4</sub>,PO<sub>4</sub>,SO<sub>4</sub>)]<sub>2</sub>\u00b7<sub>4</sub>H<sub>2</sub>O","not reported",,"3-4","vitreous","230px-Arthurite_on_rock_Hydrous_basic_copper_iron_arsenate_Majuba_Hill_Pershing_County_Nevada_2231.jpg",,"Acicular, Prismatic, Spherical",
"White","Carbonates","Artinite","Mineral","Carbonate","Monoclinic Space group: C 2/m","Artinite, Mistake Mine, Fresno County, California (unknown scale)","On {100} perfect; on {001} good.","Monoclinic","Biaxial (-)","05.DA.10","a = 16.56 \u00c5, b = 3.15 \u00c5, c = 6.22 \u00c5; \u03b2 = 99.15\u00b0; Z=1","Mg<sub>2</sub>(OH)<sub>2</sub>CO<sub>3</sub>\u00b7<sub>3</sub>H<sub>2</sub>O","White","Transparent","2.5","Vitreous, silky","240px-Artinite_2_on_serpentine_w-_hydromagnesite_Basic_magnesium_carbonate_Mistake_Mine_Fresno_County_California_2175.jpg","n\u03b1 = 1.488 - 1.489 n\u03b2 = 1.533 - 1.534 n\u03b3 = 1.556 - 1.557","Acicular crystals, fibrous veinlets, botyroidal crusts, and spherical aggregates","2.01 - 2.03"
,"Halides","Artroeite","Mineral","Halide",,"Artroeite, from Monte Somma, Vesuvius, Campania, Italy",,,,"3.CC.15",,"PbAlF<sub>3</sub>(OH)<sub>2</sub>",,,,,"240px-Artroeite-purple-sky-minerals.jpg",,,
